date,factor,horizon,sample_size,ic,rank_ic
2020-03-19,low_volatility_20,1,2736,0.35740771278954264,0.4380389611377002
2020-03-19,low_volatility_20,5,2732,0.3275781319995865,0.37289946477878744
2020-03-19,low_volatility_20,20,2715,0.09312887752180629,0.1727579254556612
2020-03-19,momentum_20,1,2736,0.0468537280107738,0.10098039771335426
2020-03-19,momentum_20,5,2732,-0.1501488728005433,-0.06159996221615483
2020-03-19,momentum_20,20,2715,-0.06781480426927929,-0.11969916522164216
2020-03-19,momentum_60_skip_5,1,2690,-0.2156256595853433,-0.20311203135128578
2020-03-19,momentum_60_skip_5,5,2686,-0.1576227531283349,-0.16795818277090024
2020-03-19,momentum_60_skip_5,20,2671,0.060656150492560644,0.029029018779073625
2020-03-19,overnight_reversal_5,1,2747,-0.015891782098297218,-0.0393680877094131
2020-03-19,overnight_reversal_5,5,2743,0.06840538747854565,0.056678853956795484
2020-03-19,overnight_reversal_5,20,2726,-0.0220333457724939,-0.039671303165404175
2020-03-19,reversal_5,1,2747,-0.03265887608987588,-0.1178793441384582
2020-03-19,reversal_5,5,2743,0.22323832716721106,0.11469726864082652
2020-03-19,reversal_5,20,2726,0.13545310919528514,0.13280251872194485
2020-03-20,amihud_illiquidity_20,1,2733,-0.03699794030841373,-0.03270988619896693
2020-03-20,amihud_illiquidity_20,5,2728,-0.003775989773263106,-0.011810541467690828
2020-03-20,amihud_illiquidity_20,20,2711,-0.07352300231879974,-0.08133359352882026
2020-03-20,amount_change_5_20,1,2734,-0.19610033819480494,-0.14109088957897373
2020-03-20,amount_change_5_20,5,2729,-0.07688129275535487,0.0016595228859836552
2020-03-20,amount_change_5_20,20,2712,-0.015163637879662862,0.008410410906594007
2020-03-20,low_volatility_20,1,2733,0.11372180700541966,0.020893452681974036
2020-03-20,low_volatility_20,5,2728,0.203806579313192,0.22867296128118306
2020-03-20,low_volatility_20,20,2711,-0.017650133376391514,0.01663143227801157
2020-03-20,momentum_20,1,2733,-0.22738147033632966,-0.15156279550699717
2020-03-20,momentum_20,5,2728,-0.09627343176066024,-0.018841234935255854
2020-03-20,momentum_20,20,2711,-0.05049422798588787,-0.09641064486572261
2020-03-20,momentum_60_skip_5,1,2688,-0.12448547891734876,-0.05431376156745805
2020-03-20,momentum_60_skip_5,5,2683,-0.07617461719803231,-0.08146239418260848
2020-03-20,momentum_60_skip_5,20,2668,0.11945637799694023,0.10319860335588779
2020-03-20,overnight_reversal_5,1,2745,-0.009818313837151538,-0.01367522289203831
2020-03-20,overnight_reversal_5,5,2740,0.12786206784112245,0.1497645214574066
2020-03-20,overnight_reversal_5,20,2723,-0.07004644862481572,-0.08913256607067745
2020-03-20,reversal_5,1,2745,0.16720343526751263,0.12286772023769932
2020-03-20,reversal_5,5,2740,0.16370462532024108,0.10749634559871132
2020-03-20,reversal_5,20,2723,0.08808065105694089,0.0977139281264486
2020-03-23,amihud_illiquidity_20,1,2734,-0.05653549727589632,-0.04099169421346219
2020-03-23,amihud_illiquidity_20,5,2728,0.018539249211484265,0.014913760964135226
2020-03-23,amihud_illiquidity_20,20,2710,-0.06071110034572232,-0.06659039941723878
2020-03-23,amount_change_5_20,1,2734,-0.0499863723851824,-0.05250055489160547
2020-03-23,amount_change_5_20,5,2728,-0.016399921968594078,0.04306490276470907
2020-03-23,amount_change_5_20,20,2710,0.033840506230189304,0.05257705133959205
2020-03-23,low_volatility_20,1,2734,-0.1495422979492083,-0.15374549292365908
2020-03-23,low_volatility_20,5,2728,0.17499561603276087,0.24220000986505666
2020-03-23,low_volatility_20,20,2710,-0.055148237600747434,0.004098679427384901
2020-03-23,momentum_20,1,2734,-0.18105796801294932,-0.2580143668722405
2020-03-23,momentum_20,5,2728,0.03757294887110654,0.09744158090889857
2020-03-23,momentum_20,20,2710,0.007549079232805946,-0.03989388444853848
2020-03-23,momentum_60_skip_5,1,2689,0.12243681425302673,0.028343838921745915
2020-03-23,momentum_60_skip_5,5,2683,-0.016478034810626076,-0.046595563692824804
2020-03-23,momentum_60_skip_5,20,2667,0.15760074689633158,0.1259441050304135
2020-03-23,overnight_reversal_5,1,2746,0.05046770673796704,0.027878398755397993
2020-03-23,overnight_reversal_5,5,2740,0.022564219705739474,0.030113048714243005
2020-03-23,overnight_reversal_5,20,2722,-0.07551371431727102,-0.11707765698586654
2020-03-23,reversal_5,1,2746,0.3043072110375182,0.37198153197336403
2020-03-23,reversal_5,5,2740,0.12723776793680872,0.09210841409451453
2020-03-23,reversal_5,20,2722,0.041857386162843874,0.07746987837409809
2020-03-24,amihud_illiquidity_20,1,2732,0.0012756722758338291,0.03115018493605563
2020-03-24,amihud_illiquidity_20,5,2727,0.01755730371888289,0.023868325841104
2020-03-24,amihud_illiquidity_20,20,2708,-0.031347033877411744,-0.02885572913393935
2020-03-24,amount_change_5_20,1,2733,-0.02779582430221808,-0.012193292889168506
2020-03-24,amount_change_5_20,5,2728,-0.08187462130677649,-0.02240636241498602
2020-03-24,amount_change_5_20,20,2709,0.02399748637843187,0.04255963007664993
2020-03-24,low_volatility_20,1,2732,0.14485662349427547,0.24304130797972606
2020-03-24,low_volatility_20,5,2727,0.2284297412149849,0.30857857291834334
2020-03-24,low_volatility_20,20,2708,0.003948751155831984,0.08639036220526028
2020-03-24,momentum_20,1,2732,0.01634803844767204,0.029056826026979406
2020-03-24,momentum_20,5,2727,0.045375233104821486,0.11245251023403485
2020-03-24,momentum_20,20,2708,0.045561049574733024,0.020569289692734936
2020-03-24,momentum_60_skip_5,1,2688,0.00020838724161433703,-0.07711284243798605
2020-03-24,momentum_60_skip_5,5,2683,-0.08756655162013678,-0.10962013228675704
2020-03-24,momentum_60_skip_5,20,2666,0.10195130594145403,0.06963140244595172
2020-03-24,overnight_reversal_5,1,2744,-0.022823195997435895,-0.026736572916089968
2020-03-24,overnight_reversal_5,5,2739,-0.03300511071603553,-0.034363175757360295
2020-03-24,overnight_reversal_5,20,2720,-0.06356521720810632,-0.1146971668633306
2020-03-24,reversal_5,1,2744,-0.01371217240293124,-0.054569528474779194
2020-03-24,reversal_5,5,2739,0.04267636260295587,-0.0012227531746831603
2020-03-24,reversal_5,20,2720,-0.015425472000337087,-0.02885440376856346
2020-03-25,amihud_illiquidity_20,1,2734,0.0840095610152292,0.09244695886883623
2020-03-25,amihud_illiquidity_20,5,2729,-0.04401592816286601,-0.03886971232706299
2020-03-25,amihud_illiquidity_20,20,2706,-0.025564672689196752,-0.0223353630037777
2020-03-25,amount_change_5_20,1,2734,-0.143691161221136,-0.1153584113667418
2020-03-25,amount_change_5_20,5,2729,-0.10877472732904162,-0.0608325665215172
2020-03-25,amount_change_5_20,20,2706,0.0069653048371845355,0.03316670994973777
2020-03-25,low_volatility_20,1,2734,0.20141927429956719,0.2747254424488351
2020-03-25,low_volatility_20,5,2729,0.07674609107092091,0.13497456262189694
2020-03-25,low_volatility_20,20,2706,0.023144404213483873,0.08493794173724546
2020-03-25,momentum_20,1,2734,-0.008525473499473147,0.06772025317581322
2020-03-25,momentum_20,5,2729,-0.08878898315653191,-0.05343469651335867
2020-03-25,momentum_20,20,2706,0.03139470359992729,0.02688539624652397
2020-03-25,momentum_60_skip_5,1,2690,-0.15768011035830826,-0.19457469661763319
2020-03-25,momentum_60_skip_5,5,2685,-0.035938127392316555,-0.06905786149660964
2020-03-25,momentum_60_skip_5,20,2663,0.0699533081683719,0.045667424999310924
2020-03-25,overnight_reversal_5,1,2746,-0.019868940589746018,-0.01766060713386854
2020-03-25,overnight_reversal_5,5,2741,-0.0652838482956174,-0.08646134147074215
