factor,horizon,sample_period,factor_group,dates,average_assets,mean_group_return,std_group_return
amount_change_5_20,20,validation_2024,4,242,607.900826446281,0.010672311775902547,0.09101086980224368
amount_change_5_20,20,validation_2024,5,242,601.4256198347107,0.0005919322860493846,0.10114540868081195
low_volatility_20,1,test_2025,1,243,598.8600823045267,0.000749130571092332,0.015495683856127021
low_volatility_20,1,test_2025,2,243,604.2263374485597,0.00193338523310517,0.012967401148147642
low_volatility_20,1,test_2025,3,243,606.2098765432099,0.0019846558346852056,0.0116642885130627
low_volatility_20,1,test_2025,4,243,606.4897119341564,0.0017295183990558424,0.010426563300677328
low_volatility_20,1,test_2025,5,243,607.4156378600823,0.0010772992429176848,0.008430886492258968
low_volatility_20,1,train_2020_2023,1,970,575.5371134020619,-0.0003888437367755231,0.015217870867591814
low_volatility_20,1,train_2020_2023,2,970,579.1371134020618,0.00041813446340617803,0.013249835123583797
low_volatility_20,1,train_2020_2023,3,970,580.1164948453609,0.00071614904513096,0.012606520799666015
low_volatility_20,1,train_2020_2023,4,970,580.4969072164948,0.0008141833920122483,0.01213327522439308
low_volatility_20,1,train_2020_2023,5,970,581.3711340206186,0.0006233257406782238,0.010486259277499346
low_volatility_20,1,validation_2024,1,242,600.5619834710744,-0.0010826823741121596,0.024154329203109257
low_volatility_20,1,validation_2024,2,242,609.0,0.0001269782998394686,0.022556053193888762
low_volatility_20,1,validation_2024,3,242,610.7231404958678,0.00030115317291902927,0.02070742432195154
low_volatility_20,1,validation_2024,4,242,611.6280991735537,0.0005096802295575776,0.01851298639498143
low_volatility_20,1,validation_2024,5,242,612.7809917355372,0.0006606518098314634,0.014424977854211913
low_volatility_20,5,test_2025,1,243,597.4197530864197,0.0056297950680140995,0.03331597103351592
low_volatility_20,5,test_2025,2,243,603.312757201646,0.009527949833193343,0.027408434903872236
low_volatility_20,5,test_2025,3,243,605.5637860082304,0.010241483774936059,0.024125852603260403
low_volatility_20,5,test_2025,4,243,606.0452674897119,0.008375891516759763,0.021251976190301676
low_volatility_20,5,test_2025,5,243,607.1152263374486,0.0052626216785072715,0.016395114578735697
low_volatility_20,5,train_2020_2023,1,970,574.3298969072165,-0.001302385089865812,0.034748521146994595
low_volatility_20,5,train_2020_2023,2,970,578.3567010309279,0.00196594201429356,0.030446235812112147
low_volatility_20,5,train_2020_2023,3,970,579.3752577319588,0.0033418861550265876,0.02954277597772935
low_volatility_20,5,train_2020_2023,4,970,579.8556701030927,0.003731712102735017,0.02858338127154616
low_volatility_20,5,train_2020_2023,5,970,580.8917525773196,0.002775591870767848,0.02488710275150668
low_volatility_20,5,validation_2024,1,242,599.4628099173553,-0.002131130340422496,0.06393077655321909
low_volatility_20,5,validation_2024,2,242,608.5,0.0023137495635709034,0.05685476728357498
low_volatility_20,5,validation_2024,3,242,610.2851239669421,0.002923699526448147,0.051453614063574446
low_volatility_20,5,validation_2024,4,242,611.2892561983471,0.0027312274745955587,0.04578548597108989
low_volatility_20,5,validation_2024,5,242,612.4380165289256,0.003041929177740297,0.03574394585270439
low_volatility_20,20,test_2025,1,242,592.4958677685951,0.025530708599425654,0.06423200833089548
low_volatility_20,20,test_2025,2,242,599.0619834710744,0.038288457973031556,0.05406364743593422
low_volatility_20,20,test_2025,3,242,602.9834710743802,0.0391786727326415,0.04477846081715885
low_volatility_20,20,test_2025,4,242,604.2768595041322,0.03198828742473918,0.035621230801363604
low_volatility_20,20,test_2025,5,242,606.095041322314,0.019634336757172466,0.02686591149922106
low_volatility_20,20,train_2020_2023,1,970,570.5381443298969,-0.003311232237347122,0.05940430163235464
low_volatility_20,20,train_2020_2023,2,970,575.4628865979381,0.006711508114126143,0.052965652324996566
low_volatility_20,20,train_2020_2023,3,970,576.6268041237114,0.010673686703426173,0.05167511513055789
low_volatility_20,20,train_2020_2023,4,970,577.3587628865979,0.012152523738662793,0.05113970924219263
low_volatility_20,20,train_2020_2023,5,970,578.8010309278351,0.010067808815873226,0.04525170172767415
low_volatility_20,20,validation_2024,1,242,595.3842975206611,0.002854527205349265,0.13072987596139243
