ts_code,name,start_date,end_date,ann_date,change_reason
000576.SZ,*ST甘化,2009-04-21,2010-05-17,2009-04-20,*ST
000576.SZ,ST甘化,2010-05-18,2012-02-28,2010-05-17,撤消*ST并实行ST
000576.SZ,*ST甘化,2012-02-29,2013-04-14,2012-02-28,从ST变为*ST
000584.SZ,ST工智,2023-05-05,2024-05-05,2023-04-29,ST
000584.SZ,*ST工智,2024-05-06,2025-06-19,2024-04-30,从ST变为*ST
000585.SZ,ST东北电,2000-05-09,2006-04-23,2000-04-29,ST
000585.SZ,*ST东电,2009-04-01,2010-04-13,2009-03-31,*ST
000585.SZ,*ST东电,2012-04-05,2013-04-18,2012-03-30,*ST
000585.SZ,*ST东电,2018-04-02,2019-08-20,2018-03-30,*ST
000585.SZ,ST东电,2019-08-21,2020-05-05,2019-08-20,撤消*ST并实行ST
000585.SZ,*ST东电,2020-05-06,2022-04-27,2020-04-30,从ST变为*ST
000586.SZ,ST川长江,2002-04-08,2002-12-24,2002-04-05,ST
000586.SZ,ST汇源,2002-12-25,2004-02-24,2002-09-18,其他
000586.SZ,*ST汇源,2009-04-28,2010-05-05,2009-04-27,*ST
000586.SZ,ST汇源,2010-05-06,2011-07-20,2010-05-05,撤消*ST并实行ST
000587.SZ,*ST光明,2004-04-26,2005-07-27,2004-04-23,*ST
000587.SZ,ST光明,2005-07-28,2006-10-08,2005-07-27,撤消*ST并实行ST
000587.SZ,SST光明,2006-10-09,2007-05-07,2006-09-28,其他
000587.SZ,S*ST光明,2007-05-08,2008-12-09,2007-04-30,从ST变为*ST
000587.SZ,SST光明,2008-12-10,2009-11-10,2008-12-09,撤消*ST并实行ST
000587.SZ,S*ST光明,2009-11-11,2011-08-17,2009-11-10,从ST变为*ST
000587.SZ,*ST光明,2011-08-18,2011-10-27,2011-08-16,其他
000587.SZ,ST光明,2011-10-28,2011-12-15,2011-10-27,撤消*ST并实行ST
000587.SZ,ST金叶,2011-12-16,2012-09-09,2011-11-22,其他
000587.SZ,*ST金洲,2020-05-07,,2020-04-30,*ST
000590.SZ,*ST古汉,2015-05-04,2016-04-11,2015-04-30,*ST
000592.SZ,ST中福,2000-05-09,2003-04-09,2000-04-29,ST
000592.SZ,ST昌源,2003-04-10,2005-04-28,2003-01-11,其他
000592.SZ,*ST昌源,2005-04-29,2006-10-08,2005-04-28,从ST变为*ST
000592.SZ,S*ST昌源,2006-10-09,2008-03-18,2006-09-28,其他
